id,ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,label
1,443,dễ_dàng thoải_mái thư_giãn,29/04/2023,17:06,5,308500015,good
2,1030,dãng thoải_mái thư_giãn,30/04/2023,15:04,5,308500015,good
3,689,thích hasaki tẩy,30/04/2023,18:34,5,422216594,good
4,2519,khả_năng sạch tốt lớp mắt môi_chóng loại_bỏ bông_tẩy toàn_bộ bụi bẩn dầu_thừa lớp đi cực_kỳ kích_ứng sạch mà_còn dịu giúp ngứa_ngáy,17/07/2022,13:48,5,204100075,good
5,402,sữa rửa mặt tốt sạch mụn mịn,15/04/2023,23:04,5,422208977,good
7,2517,dòng srm chân_ái tuyp thử nhờn khô_hở tí nổi mụn,25/12/2022,17:11,5,204100019,good
8,1750,sài bha obagi đổi thử_sài plc hasaki hàng kèm quà tặng quà trừ tiền,9/7/2022,4:34,5,100220035,good
9,3394,xài,7/7/2022,11:18,5,204100024,good
10,1817,ứng_không_hợp,5/2/2024,3:50,4,422216354,good
11,3556,tư_vấn train đẹp á_hỏi dán mụn trả_lời tè không_như,12/9/2023,22:33,5,100250032,good
12,2375,mùi thơm_dịu mát thư_giãn,29/04/2023,16:52,5,422205163,good
13,2027,khum vụ nâng tông trắng lắm chỉnh tông chống nắng làm_lót phê_hợp kiểu đồ đi học đi tự_nhiên dày mặt,24/10/2022,18:02,5,249500019,good
14,2928,sánh bnbg nhma ẩm_không_tốt bnbg tốt tầm_giá dầu ẩm thoải_mái mặt_nạ,27/03/2024,22:14,5,422209718,good
15,3059,mỏng thấm tẩy toner nhũn liền mặt tưa đáp_ứng cầu tốt,19/12/2020,7:52,2,413400001,bad
16,1118,xài tốt_tẩy sạch xài thích nước_tẩy loreal inisfre mùi hóa học không_bị châm chích xài trôi chùi sạch lợi rửa mặt,22/06/2021,9:30,5,422204884,good
17,2273,hơi bết trắng,17/12/2022,11:20,4,422208183,good
18,736,tốt,5/12/2022,15:52,5,100230056,good
19,731,kiểu tiền nấy_xài tẩy hàng hơi,4/3/2023,19:08,5,100230056,good
20,4234,rít mặt đắp xomg rôid dưỡng nhiên mask tốt_đắp không_bị_kích_ứng,17/07/2023,23:05,4,422205637,good
21,2696,,18/08/2019,23:21,5,422203776,good
22,1806,,8/12/2016,7:54,5,422216098,good
23,1281,tiền,11/10/2021,12:13,5,204900005,good
24,3417,mùi tự_nhiên hạt nhẹ không_rát không_kích_ứng mỏng xài thử tuýp bé tí_í giùm mỏi mắt,30/06/2022,22:32,5,351700026,good
25,1268,sạch không_bị khô sạch dầu,18/09/2024,12:03,5,204900056,good
26,1360,trời làn xài hiệu_quả trông,3/7/2024,8:06,5,422208328,good
27,2255,quan_điểm tích giá rẻ_hợp học_viên đơn_giản sạch mùi thơm nhạy_cảm hương_liệu cân_nhắc sữa rửa mặt bọt mịn,12/10/2021,21:48,5,357100011,good
29,2647,viền_sắc rát_mặt xước mặt,15/02/2022,14:41,2,422203300,bad
30,3508,hàng chuẩn hàng đắp thích mướt mịn hẳn,1/10/2021,4:50,5,386000044,good
31,2484,chống nắng ưng tệp màu tán không_bị trôi đổ mồ_hôi,10/3/2022,16:20,5,422204388,good
32,4003,dầu không_bị khô mặt sạch hẳn cũ,31/05/2022,13:52,5,422205673,good
33,3626,nhạy_cảm hỗn_hợp thiên_khô xài êm không_kích_ứng nâng tone một_chút tự_nhiên mỏng nhẹ không_nặng mặt mắt,30/10/2024,17:25,5,343100024,good
34,3176,dưỡng tốt,10/7/2020,22:49,5,345800001,good
35,2405,,26/04/2023,18:41,5,308500018,good
36,681,mùi hương dễ_chịu mát giá_thành,30/04/2023,15:02,5,204100019,good
37,319,kiểu tách á_loại thời_tiết lạnh ổn dầu mụn xài típ quây dưỡng ổn,7/7/2024,23:26,4,422204167,good
39,132,tốt đường viền chắn chắn không_xơ tưa mềm,25/05/2023,11:14,5,422212331,good
40,2723,dạng sữa thắm hơi rửa mặt xài,9/6/2023,13:34,3,248700035,neutral
42,575,thử cực_cực cực_kì hài_lòng chống nắng tốt nâng tông không_gây khó_chịu làn khô hơi nhạy_cảm mụn tốt,29/05/2024,9:02,5,253900006,good
43,2887,liên_tục vòng quan_sát kĩ cải_thiện rõ_rệt chân nám mờ dần đi hẳn texture lỏng nhẹ thấm cực_kì nhẹ cực_kì thích packaging thủy nặng_thông đầy_đủ tiết cộng trừ hị_hị yêu thích_dưỡng trắng thâm_nám nhẹ thường_xuyên hẳn,25/01/2021,13:49,5,422202580,good
44,677,thích hasaki tẩy,3/5/2023,18:31,5,200400004,good
46,2344,dễ_dàng thoải_mái thư_giãn,1/5/2023,20:04,5,308500004,good
47,2893,bì đẹp thấm tông trắng lọ tông hẳn màu kèm ẩm tốt,1/2/2021,13:41,5,422202580,good
48,182,tẩy tốt quà tặng kèm chưng,28/05/2022,14:22,4,422204259,good
49,3810,lọ_dưỡng ẩm xài hủ_thấm ghê,14/05/2024,8:44,5,422209048,good
50,1637,khô_nhiên vichy_dưỡng ẫm_serum bình_thường dễ_tán laroch cũ nâng tông tầm nửa_tông khô bôi hơi ẩm_không_bị khô căng,24/07/2024,11:32,5,100160022,good
51,706,thích hasaki tẩy,28/04/2023,18:32,5,100230064,good
52,414,bộ_tế click hasaki gửi khảo hãng,30/03/2023,13:04,5,422208976,good
54,441,truóc ổn lắm mùi cồn nồng_nặc,12/11/2022,10:11,4,249500027,good
55,1469,hợp dầu mắc,5/1/2022,1:03,4,204900056,good
56,380,dầu nổi mụn cerave item đi bác_sĩ khuyên,22/04/2024,15:21,5,422208976,good
57,2019,chống nắng giá bình_dân tán nâng toner nhẹ tự_nhiên,20/11/2022,17:14,5,249500019,good
58,777,bàn_thích hàng hasaki dịch hàng tỉnh,20/09/2021,16:36,5,100230057,good
